dataset_size_quads,event_rate_per_sec,write_mean_ms,write_std_ms,hist_mean_ms,hist_std_ms,live_mean_ms,live_std_ms,comparator_mean_ms,comparator_std_ms,total_mean_ms,total_std_ms,hist_pct_of_total
50000,50,0.00,0.00,57.11,0.62,1.27,0.00,0.00,0.00,58.38,0.62,97.8
50000,100,0.00,0.00,57.32,1.05,1.26,0.04,0.00,0.00,58.58,1.05,97.8
50000,500,0.00,0.00,56.82,0.28,1.26,0.04,0.00,0.00,58.07,0.28,97.8
100000,50,0.00,0.00,111.31,1.31,1.27,0.01,0.00,0.00,112.59,1.31,98.9
100000,100,0.00,0.00,111.15,0.58,1.27,0.00,0.00,0.00,112.42,0.58,98.9
100000,500,0.00,0.00,115.17,7.88,1.41,0.12,0.00,0.00,116.59,7.88,98.8
500000,50,0.00,0.00,583.59,40.34,1.27,0.05,0.00,0.00,584.86,40.34,99.8
500000,100,0.00,0.00,558.84,4.93,1.27,0.01,0.00,0.00,560.12,4.93,99.8
500000,500,0.00,0.00,582.93,25.27,1.27,0.01,0.00,0.00,584.20,25.27,99.8
